iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
36,0.689955969,25.39033547,639,0.19853990793238088,0.2058773556744826,0.0009419062856893534,-0.013326221624222367,-0.0017941958390056412,-3.9178653,-3.951373,-3.8980026,false,,0.875359887090803,0.8652301929208691,0.22192025460333079,0.9992542549814172,0.998546179584364,0.3653882228718019,0.0030853861055225003
37,0.67745125,26.06778672,639,0.1985400479303276,0.2059351604580679,0.0008570672200600704,-0.013436420932536608,-0.0018845695582470068,-3.9178646,-3.9513772,-3.898003,false,,0.8753512841924155,0.8652036297429473,0.22192027110346457,0.9992372722539469,0.99852347630964,0.36613770533558715,0.0031981967420274373
38,0.67465006,26.742436780000002,639,0.19854020207833353,0.20598734982057057,0.0007835146755633682,-0.013532429987326844,-0.001963114344641248,-3.9178634,-3.9513793,-3.898003,false,,0.8753438237577784,0.8651803216938855,0.22192028089113053,0.9992214956802318,0.9985017330602577,0.3667940916912921,0.0033115632932550747
39,0.627706786,27.370143566000003,639,0.1985403623484139,0.20603455088580516,0.0007195637672816613,-0.013616281311388811,-0.0020315505201760065,-3.9178634,-3.9513822,-3.898003,false,,0.8753373095579637,0.8651596670547265,0.22192025867310247,0.9992068873084267,0.9984809149542159,0.36737062884501076,0.0034254248779103094
40,0.691283453,28.061427019000003,639,0.1985405030378095,0.2060773828164732,0.0006637548968806417,-0.013689753654363535,-0.0020914180107118874,-3.9178624,-3.9513843,-3.898003,false,,0.8753316549707143,0.8651412391580248,0.2219202706066062,0.9991934010276723,0.9984609909757004,0.3678786286759387,0.0035397278285011417
41,0.675267379,28.736694398000004,639,0.1985406580853052,0.20611635578859638,0.0006152396258474191,-0.013753962545849596,-0.002143576259325819,-3.9178617,-3.951386,-3.898003,false,,0.8753266879972823,0.8651245842122753,0.22192026523373365,0.9991809843729745,0.9984419313551509,0.3683275476769969,0.0036544220637235413
42,0.673244117,29.409938515000004,639,0.19854080001328747,0.2061519203802214,0.0005727849885174274,-0.01381038123713596,-0.0021893230889720172,-3.9178617,-3.951388,-3.898003,false,,0.8753223536374269,0.8651094083445703,0.22192026220531552,0.9991695810993946,0.9984237104825977,0.36872563079005455,0.003769465479006083
43,0.669373421,30.079311936000003,639,0.19854093544300438,0.20618453767963743,0.0005357512060336633,-0.013859891975757654,-0.002229319613212488,-3.917861,-3.95139,-3.8980026,false,,0.8753185675367592,0.8650954451685042,0.22192026326324693,0.9991591314932368,0.9984063004488175,0.36907937818650066,0.003884819901939029
44,0.617385863,30.696697799000003,639,0.1985410748759099,0.2062144528088245,0.0005032888117276757,-0.013903469067048202,-0.0022644444891677384,-3.9178605,-3.951391,-3.8980024,false,,0.875315251223566,0.8650824440745152,0.2219202670020209,0.9991495764609326,0.9983896762682979,0.3693949258923757,0.004000447932287792
45,0.665480425,31.362178224,639,0.19854118557321992,0.20624194758893155,0.0004749290327404898,-0.013941761575011369,-0.0022952112516030354,-3.91786,-3.951392,-3.8980024,false,,0.8753123392510809,0.8650702086640127,0.22192025575789287,0.9991408562264884,0.9983738121530039,0.36967721439807716,0.0041163168386898034
46,0.679488452,32.041666676,639,0.19854130550213106,0.20626735655285708,0.000450126581420629,-0.013975498606905168,-0.002322193264269634,-3.9178598,-3.9513931,-3.8980024,false,,0.8753097850300559,0.8650585813368399,0.22192026329888104,0.999132911285438,0.998358682650691,0.36993051743399524,0.004232396940324122
47,0.690619834,32.73228651,639,0.19854142922149406,0.20629086101533414,0.00042826272438167834,-0.014005346291249832,-0.0023460230686206396,-3.9178593,-3.951394,-3.898002,false,,0.8753075346787409,0.8650474118868325,0.2219202685534435,0.9991256846816536,0.998344264697344,0.3701586389855027,0.004348663263772563
48,0.708074014,33.440360524,639,0.1985415164361338,0.20631272764578656,0.0004091391701050995,-0.014031670070123514,-0.0023669295341457453,-3.9178588,-3.9513955,-3.8980024,false,,0.8753055749433518,0.865036614652926,0.22192027418143861,0.9991191203552424,0.9983305346908432,0.3703647406160783,0.004465088965874911
49,0.631471382,34.071831906,639,0.19854163018151721,0.20633307110113205,0.000392390252240693,-0.01405489568294338,-0.0023852952354392887,-3.9178588,-3.9513958,-3.8980014,false,,0.8753038584422936,0.8650260746432654,0.2219202658226901,0.999113167315873,0.9983174677847054,0.3705517412525657,0.004581652262246658
50,0.682080033,34.753911939,639,0.19854175228461332,0.2063521213721237,0.00037767828523271874,-0.014075471985483312,-0.0024014735340663895,-3.9178581,-3.9513962,-3.8980014,false,,0.8753023392083675,0.8650156945169366,0.22192026679318344,0.9991077740532558,0.9983050402659212,0.370721976305814,0.004698332643267145
51,0.673898026,35.427809965,639,0.1985418211601388,0.20636983712991763,0.00036477433390280645,-0.0140936780054145,-0.0024157127844587345,-3.9178586,-3.9513967,-3.8980014,false,,0.8753010104654056,0.865005424451141,0.2219202621858108,0.9991028941128266,0.9982932314497831,0.3708775933597783,0.004815112314647902
