instance,nlat mean,nlat stdDev,fair mean,fair stdDev
"[True, False, False, True, True, False, True, True]",0.9448717176914215,0.0786171665114482,0.9736164540052414,0.041128731086006814
"[True, True, False, True, True, False, False, True]",0.940155667066574,0.08481797709107423,0.9944447755813599,0.009448873417962526
"[False, True, True, True, True, False, False, True]",0.5933729410171509,0.14883440657100347,0.9349077671766282,0.04280780750213045
"[True, False, False, True, True, True, False, True]",0.9589771598577499,0.03895874283190035,0.9963977575302124,0.004349780727593308
"[False, True, False, False, True, False, False, True]",0.9604790031909942,0.055511790443605415,0.9963821947574616,0.006195465607211656
"[False, True, False, True, True, False, False, True]",0.9415566772222519,0.08543997219526513,0.9949155807495117,0.008115580916801398
"[True, False, True, True, True, False, True, True]",0.5810740098357201,0.17018489280132518,0.6796676576137543,0.2295753266720188
"[True, False, False, True, False, True, False, True]",0.9768834114074707,0.024034929596728784,0.9982727408409119,0.0019307669767528344
"[True, True, False, True, True, True, False, True]",0.9546803683042526,0.04758713234749431,0.9961374580860138,0.0046433444276646205
"[True, False, False, True, True, True, False, True]",0.9589771598577499,0.03895874283190035,0.9963977575302124,0.004349780727593308
"[True, False, False, True, True, False, True, True]",0.9448717176914215,0.0786171665114482,0.9736164540052414,0.041128731086006814
"[True, False, True, True, True, False, False, False]",0.6282414078712464,0.1447496995371364,0.00405593384057278,0.0035622505962952986
"[True, False, False, True, True, True, True, True]",0.9566349625587464,0.04519551100860267,0.9819697260856628,0.02341107941692019
"[True, True, False, False, False, True, True, True]",0.979254212975502,0.019514895519827845,0.9924684047698975,0.008801824711499128
"[True, False, False, True, True, False, False, True]",0.9481092482805252,0.07199946385736938,0.9949507623910904,0.009143523372872978
"[True, False, False, True, True, False, False, True]",0.9481092482805252,0.07199946385736938,0.9949507623910904,0.009143523372872978
"[False, True, True, True, True, False, False, False]",0.5933729410171509,0.14883440657100347,0.00334133853903036,0.0027631561904175417
"[True, True, True, True, True, False, False, False]",0.5896811321377754,0.15257621287292827,0.003340838785516055,0.0028677938142675683
"[False, True, False, False, True, True, False, True]",0.9659257233142853,0.034387459651479005,0.9966975569725036,0.003773263901097481
"[True, False, False, False, True, True, False, True]",0.9647234857082367,0.02998399208707317,0.9967273801565171,0.0032877995494896535
"[True, False, True, True, True, True, False, False]",0.6288236185908318,0.18447534929034942,0.005950544687220775,0.0067997736524430825
"[False, True, False, True, True, True, False, True]",0.9491533786058426,0.06211650860373893,0.9955880433320999,0.005811617319817347
"[True, True, False, True, False, True, False, True]",0.9787882596254349,0.02290536961191687,0.9984918385744095,0.001667223324080466
"[True, False, False, True, True, False, True, True]",0.9448717176914215,0.0786171665114482,0.9736164540052414,0.041128731086006814
"[True, False, False, False, True, False, False, True]",0.9577568590641021,0.055276392734391874,0.9957438558340073,0.008075645560223842
"[False, True, True, True, True, False, False, False]",0.5933729410171509,0.14883440657100347,0.00334133853903036,0.0027631561904175417
"[True, False, False, False, True, False, False, True]",0.9577568590641021,0.055276392734391874,0.9957438558340073,0.008075645560223842
"[False, True, True, True, True, True, False, True]",0.5969069316983223,0.17568734288617466,0.9310994744300842,0.05036929321455649
"[False, True, False, True, True, False, False, True]",0.9415566772222519,0.08543997219526513,0.9949155807495117,0.008115580916801398
"[True, True, False, False, True, False, False, True]",0.9546895891427993,0.06143967263273061,0.995673555135727,0.007692267369288781
"[False, True, False, False, True, False, True, True]",0.9477086186408996,0.07034232401071583,0.9763071030378342,0.035255376756205936
"[True, False, False, False, True, True, False, True]",0.9647234857082367,0.02998399208707317,0.9967273801565171,0.0032877995494896535
"[True, False, False, False, True, True, False, True]",0.9647234857082367,0.02998399208707317,0.9967273801565171,0.0032877995494896535
"[False, True, True, True, False, False, False, True]",0.6232565566897392,0.17745866268928345,0.9459612458944321,0.03421865803251281
"[False, True, False, True, True, True, True, True]",0.952849218249321,0.05194889700726536,0.9801841109991074,0.025477144056013694
"[True, False, False, True, True, False, False, True]",0.9481092482805252,0.07199946385736938,0.9949507623910904,0.009143523372872978
"[True, True, False, True, True, True, False, True]",0.9546803683042526,0.04758713234749431,0.9961374580860138,0.0046433444276646205
"[False, False, True, True, True, False, False, True]",0.6120079219341278,0.14937764899247732,0.9413992971181869,0.040372141985906405
"[False, True, False, True, False, True, False, True]",0.9751764088869095,0.033741697025178846,0.9981710821390152,0.0024766545166533807
"[False, True, True, True, True, False, False, True]",0.5933729410171509,0.14883440657100347,0.9349077671766282,0.04280780750213045
"[True, True, False, True, True, False, False, True]",0.940155667066574,0.08481797709107423,0.9944447755813599,0.009448873417962526
"[True, False, False, True, False, True, True, True]",0.9747608512639999,0.027632698108074,0.9902408629655838,0.013375879417204502
"[False, True, False, False, False, True, True, True]",0.9788619428873062,0.022825568357212233,0.9917342573404312,0.01096621943612471
"[True, False, False, True, True, False, False, True]",0.9481092482805252,0.07199946385736938,0.9949507623910904,0.009143523372872978
"[False, True, False, True, True, False, True, True]",0.9502358943223953,0.07144961197008932,0.9778590261936188,0.034367094259477156
"[False, True, False, True, True, False, True, True]",0.9502358943223953,0.07144961197008932,0.9778590261936188,0.034367094259477156
"[True, False, False, True, False, False, False, True]",0.9442696690559387,0.08732502107758162,0.9951830536127091,0.008458232932840048
"[False, True, False, False, True, True, False, True]",0.9659257233142853,0.034387459651479005,0.9966975569725036,0.003773263901097481
"[False, True, True, False, True, True, False, False]",0.6021330982446671,0.2136507777339321,0.00699848246877077,0.009105239462025376
"[True, True, False, True, True, True, False, True]",0.9546803683042526,0.04758713234749431,0.9961374580860138,0.0046433444276646205
