instance,nlat mean,nlat stdDev,prior
"[True, False, False, False, True, True, True, False, False, False, False, False, True, False, True, False, True, True, True, True, True, True]",0.7976031373324208,0.12942480798030448,0.9026596546173096
"[False, False, True, False, True, True, False, False, False, False, False, True, False, True, True, False, False, False, True, True, False, False]",0.4506802953845741,0.10435175176880736,0.4442990720272064
"[True, False, False, False, True, True, True, False, True, True, True, False, True, False, True, False, True, False, False, True, True, True]",0.6753431717860827,0.17331773820893423,0.7634422183036804
"[False, False, False, True, False, False, False, True, False, True, False, False, True, True, False, True, False, False, True, False, True, True]",0.6054249321676466,0.1559045549216663,0.6110091209411621
"[False, True, True, True, False, True, False, True, False, False, True, True, True, True, True, False, True, False, True, False, False, True]",0.8729866523372326,0.07107884019045266,0.941956341266632
"[False, False, False, True, True, False, True, False, True, False, True, False, False, True, False, False, False, False, False, False, False, False]",0.19296011318550366,0.08738664811578306,0.061106476932764
"[True, False, False, False, True, True, True, True, True, False, False, False, False, True, False, True, True, False, True, False, False, False]",0.33991243644471386,0.19745250353031957,0.2586210072040558
"[False, True, True, False, True, True, True, False, False, False, False, True, True, False, True, True, True, True, True, True, False, True]",0.6912703565868594,0.12515678597136717,0.7074890732765198
"[True, False, False, True, True, True, True, True, False, True, False, False, True, True, False, False, False, False, False, False, True, False]",0.3156981045784632,0.15693536164955627,0.1573365032672882
"[True, True, False, True, False, True, True, True, True, False, True, False, True, True, True, False, False, False, True, False, False, False]",0.1489373049935106,0.13411128131525613,0.0254373922944068
