iter,time,total_time,circuit_size,cross_entropy_D,cross_entropy_Df,train_discrimination,valid_discrimination,test_discrimination,train_mll,valid_mll,test_mll,struct?,stop?,P(D),P(Df),P(S),"P(D|Df,S)","P(D|Df,notS)","P(D|notDf,S)","P(D|notDf,notS)"
58,0.012739737,6.9532562150000015,321,0.2009724692315344,0.2009724692315344,0.02229039025067403,0.012123712597584158,0.020654480126656716,-3.9238329337747295,-3.9568054619812383,-3.902539299946707,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
59,0.013379493,6.966635708000002,325,0.2009714269529191,0.2009714269529191,0.022318201975846663,0.01220466834620948,0.020635087121119833,-3.923770363329815,-3.956726819822246,-3.9026496976308565,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
60,0.013503618,6.9801393260000015,327,0.20097147851523076,0.20097147851523076,0.022317911332033424,0.01220453708283542,0.02063439120234767,-3.9237703619305764,-3.9567266612598013,-3.9026502169008963,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
61,0.05130688,7.031446206000002,330,0.20095546159273456,0.20095546159273456,0.022374053899616775,0.012209747026994844,0.02067865425860005,-3.9237021814259463,-3.9564305203581873,-3.9023842670712794,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
62,0.014303293,7.045749499000002,332,0.2009555900086803,0.2009555900086803,0.022372643157898664,0.012207763026668816,0.020677055351666307,-3.9237021804875862,-3.956430565235647,-3.902384333950166,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
63,0.012724857,7.058474356000002,333,0.200774443472361,0.200774443472361,0.022389424022774218,0.012429154887228733,0.020479660768468744,-3.9234968073303036,-3.956105990669474,-3.902519185334659,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
64,0.012562927,7.071037283000003,335,0.20077451520928916,0.20077451520928916,0.0223871347603527,0.012427162660670676,0.02047713871160728,-3.9234967279966564,-3.956102774217946,-3.9025180422333796,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
65,0.012443562,7.083480845000002,337,0.2007491065850235,0.2007491065850235,0.022369050358085785,0.012475012794691542,0.0203100063847943,-3.9233121284719705,-3.955933152680621,-3.9020360113265458,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
66,0.013171164,7.096652009000002,340,0.20073758883250936,0.20073758883250936,0.02237627667857911,0.012574651822459204,0.02034414385380312,-3.923271723477537,-3.9560490200144134,-3.90225285874734,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
67,0.012794138,7.1094461470000025,342,0.2007375814463245,0.2007375814463245,0.02237646836992868,0.012574847324642868,0.020344336037957378,-3.9232717210545562,-3.9560487741015153,-3.9022511462117158,true,,0.8752812397300098,0.0,0.22192026695654374,0.0,0.0,0.0,0.0
